"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"F1";"Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open_3d";1;"2.5A";;;
2;"U1";"DCM4623TD2J13D0T70_w_landpattern";1;"DCM4623TD2J13D0T70";;;
3;"REF**,REF**,REF**,REF**";"MountingHole_4.3mm_M4";4;"MountingHole_4.3mm_M4";;;
4;"C1,C2,C3";"C_Rect_L18.0mm_W8.0mm_P15.00mm_FKS3_FKP3";3;"0.68uF";;;
5;"C6,C7,C8";"CP_Radial_D18.0mm_P7.50mm";3;"4700uF";;;
6;"C9,C11";"CP_Radial_D10.0mm_P5.00mm";2;"470uF";;;
7;"J1";"TerminalBlock_MetzConnect_Type067_RT01902HDWC_1x02_P10.00mm_Horizontal";1;"TSV";;;
8;"J2";"TerminalBlock_MetzConnect_Type067_RT01904HDWC_1x04_P10.00mm_Horizontal";1;"12V_OUT";;;
9;"L1";"Murata_DFE252012P_Inductor";1;"1uH";;;
10;"L2";"PA2607";1;"0.15uH";;;
11;"R1,R11";"R_2512_6332Metric";2;"1Ω";;;
12;"R6,R8,R10";"R_0603_1608Metric";3;"1k";;;
13;"R9";"R_0603_1608Metric";1;"10k";;;
14;"U2,U4";"SMDIP-4_W9.53mm";2;"LTV-817S";;;
15;"J3";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
16;"R2";"R_0603_1608Metric";1;"6.8k";;;
17;"G***";"hvlightningsymbol";1;"LOGO";;;
18;"RV1";"TC33X-503ECT-ND";1;"50k";;;
19;"U3";"TLP182";1;"TLP184";;;
